2024-12-26 21:55:27,620 | INFO     | 71351 | MainThread | addMemory.py:90 | setup_logging | Starting new logging session in directory: logs/run_20241226_215527
2024-12-26 21:55:32,438 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:32,675 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points/search "HTTP/1.1 200 OK"
2024-12-26 21:55:32,827 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:32,935 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points/search "HTTP/1.1 200 OK"
2024-12-26 21:55:32,936 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:153 | _add_to_vector_store | Total existing memories: 0
2024-12-26 21:55:35,713 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-26 21:55:35,727 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:174 | _add_to_vector_store | {'id': '0', 'text': 'OP_CAT was a Bitcoin Script opcode used for data concatenation', 'event': 'ADD'}
2024-12-26 21:55:35,727 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:494 | _create_memory | Creating memory with data='OP_CAT was a Bitcoin Script opcode used for data concatenation'
2024-12-26 21:55:35,741 | INFO     | 71351 | ThreadPoolExecutor-0_0 | qdrant.py:101 | insert | Inserting 1 vectors into collection cloud_memory
2024-12-26 21:55:35,844 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: PUT https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points?wait=true "HTTP/1.1 200 OK"
2024-12-26 21:55:35,846 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:174 | _add_to_vector_store | {'id': '1', 'text': 'OP_CAT was disabled for security reasons in 2010', 'event': 'ADD'}
2024-12-26 21:55:35,846 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:494 | _create_memory | Creating memory with data='OP_CAT was disabled for security reasons in 2010'
2024-12-26 21:55:35,846 | INFO     | 71351 | ThreadPoolExecutor-0_0 | qdrant.py:101 | insert | Inserting 1 vectors into collection cloud_memory
2024-12-26 21:55:35,946 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: PUT https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points?wait=true "HTTP/1.1 200 OK"
2024-12-26 21:55:35,952 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:174 | _add_to_vector_store | {'id': '2', 'text': "Taproot Wizards advocate for reactivating OP_CAT to expand Bitcoin's capabilities", 'event': 'ADD'}
2024-12-26 21:55:35,952 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:494 | _create_memory | Creating memory with data="Taproot Wizards advocate for reactivating OP_CAT to expand Bitcoin's capabilities"
2024-12-26 21:55:35,952 | INFO     | 71351 | ThreadPoolExecutor-0_0 | qdrant.py:101 | insert | Inserting 1 vectors into collection cloud_memory
2024-12-26 21:55:36,067 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: PUT https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points?wait=true "HTTP/1.1 200 OK"
2024-12-26 21:55:36,069 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:174 | _add_to_vector_store | {'id': '3', 'text': 'Boos are distinguished from ghosts in the Boo Kingdom', 'event': 'ADD'}
2024-12-26 21:55:36,069 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:494 | _create_memory | Creating memory with data='Boos are distinguished from ghosts in the Boo Kingdom'
2024-12-26 21:55:36,069 | INFO     | 71351 | ThreadPoolExecutor-0_0 | qdrant.py:101 | insert | Inserting 1 vectors into collection cloud_memory
2024-12-26 21:55:36,173 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: PUT https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points?wait=true "HTTP/1.1 200 OK"
2024-12-26 21:55:36,175 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:174 | _add_to_vector_store | {'id': '4', 'text': 'Liverpool is regarded by some as the best football team in the world', 'event': 'ADD'}
2024-12-26 21:55:36,175 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:494 | _create_memory | Creating memory with data='Liverpool is regarded by some as the best football team in the world'
2024-12-26 21:55:36,175 | INFO     | 71351 | ThreadPoolExecutor-0_0 | qdrant.py:101 | insert | Inserting 1 vectors into collection cloud_memory
2024-12-26 21:55:36,271 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: PUT https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points?wait=true "HTTP/1.1 200 OK"
2024-12-26 21:55:36,273 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:174 | _add_to_vector_store | {'id': '5', 'text': 'In the spirit realm, pastimes can include practicing shadow magic, chasing ethereal butterflies, and having floating tea parties', 'event': 'ADD'}
2024-12-26 21:55:36,273 | INFO     | 71351 | ThreadPoolExecutor-0_0 | main.py:494 | _create_memory | Creating memory with data='In the spirit realm, pastimes can include practicing shadow magic, chasing ethereal butterflies, and having floating tea parties'
2024-12-26 21:55:36,273 | INFO     | 71351 | ThreadPoolExecutor-0_0 | qdrant.py:101 | insert | Inserting 1 vectors into collection cloud_memory
2024-12-26 21:55:36,373 | INFO     | 71351 | ThreadPoolExecutor-0_0 | _client.py:1026 | _send_single_request | HTTP Request: PUT https://6a0abcb4-1b83-4ce0-afba-9189534d8e2d.us-east4-0.gcp.cloud.qdrant.io:6333/collections/cloud_memory/points?wait=true "HTTP/1.1 200 OK"
2024-12-26 21:55:40,073 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-26 21:55:40,302 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:40,970 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:41,212 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:41,506 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:41,904 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:42,168 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:42,418 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:42,659 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:43,042 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:43,323 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:50,249 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-26 21:55:51,085 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:51,207 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:51,804 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:51,933 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:52,415 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:52,553 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:53,072 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:53,318 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:53,798 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:53,899 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:54,309 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:54,439 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:55,006 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:55,125 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:55,740 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:55,940 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:56,479 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:56,705 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:57,126 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:57,256 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:57,745 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:58,130 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:58,579 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:58,823 | INFO     | 71351 | ThreadPoolExecutor-0_1 | _client.py:1026 | _send_single_request | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2024-12-26 21:55:59,028 | INFO     | 71351 | MainThread | addMemory.py:295 | <module> | Added test memories successfully: {'results': [{'id': 'a0b56f7d-0bca-439b-9bed-916be6ba8a53', 'memory': 'OP_CAT was a Bitcoin Script opcode used for data concatenation', 'event': 'ADD'}, {'id': '58bec0ed-a6aa-434d-a263-5035aa7cd8f6', 'memory': 'OP_CAT was disabled for security reasons in 2010', 'event': 'ADD'}, {'id': '34fb590b-42e1-4e85-9bf3-bdcc9b1bf982', 'memory': "Taproot Wizards advocate for reactivating OP_CAT to expand Bitcoin's capabilities", 'event': 'ADD'}, {'id': '532b10b7-9554-42a9-a591-b6debaca07a8', 'memory': 'Boos are distinguished from ghosts in the Boo Kingdom', 'event': 'ADD'}, {'id': 'e7f17320-74cb-4985-a8c4-11a9ce6dfa3e', 'memory': 'Liverpool is regarded by some as the best football team in the world', 'event': 'ADD'}, {'id': '59414852-f275-496f-96da-54d95906fbe4', 'memory': 'In the spirit realm, pastimes can include practicing shadow magic, chasing ethereal butterflies, and having floating tea parties', 'event': 'ADD'}], 'relations': {'deleted_entities': [[], [], [], [], []], 'added_entities': [[{'source': 'op_cat', 'relationship': 'was', 'destination': 'bitcoin_script_opcode'}], [{'source': 'op_cat', 'relationship': 'used_for', 'destination': 'data_concatenation'}], [{'source': 'op_cat', 'relationship': 'was_disabled_for', 'destination': 'security_reasons'}], [{'source': 'taproot_wizards', 'relationship': 'advocate_for', 'destination': 'reactivating_op_cat'}], [{'source': 'taproot_wizards', 'relationship': 'to_expand', 'destination': 'bitcoins_capabilities'}], [{'source': 'boos', 'relationship': 'distinguished_from', 'destination': 'ghosts'}], [{'source': 'boos', 'relationship': 'in', 'destination': 'boo_kingdom'}], [{'source': 'liverpool', 'relationship': 'is', 'destination': 'a_football_team'}], [{'source': 'liverpool', 'relationship': 'regarded_by', 'destination': 'some_as_the_best_in_the_world'}], [{'source': 'spirit_realm', 'relationship': 'includes', 'destination': 'practicing_shadow_magic'}], [{'source': 'spirit_realm', 'relationship': 'includes', 'destination': 'chasing_ethereal_butterflies'}], [{'source': 'spirit_realm', 'relationship': 'includes', 'destination': 'having_floating_tea_parties'}]]}}
